route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
165_0,1,703,Charneca - B. Sta. Cruz,,3,,,
201_2,1,754,Alfragide - Estr. Benfica (Furnas),,3,,,
143_1,1,720,R. Prof. Mira Fernandes - Estrela,,3,,,
116_3,1,726,Mal Penteada - Laranjeiras (Metro),,3,,,
64_0,1,207,Cais Sodré - Fetais,,3,,,
190_0,1,731,Av. José Malhoa - Sacavém,,3,,,
168_0,1,764,Cidade Universitária - Damaia Cima,,3,,,
106_0,1,750,Estação Oriente - Algés,,3,,,
195_0,1,749,ISEL - Benfica,,3,,,
205_4,1,734,Martim Moniz - R. Maria Fonte,,3,,,
146_3,1,702,B. Liberdade - Serafina,,3,,,
167_0,1,753,Pç. José Fontana - Centro Sul,,3,,,
195_5,1,749,Esc. D. Dinis - Estação Entrecampos,,3,,,
77_0,1,12E,Martim Moniz - Pç. Luis Camões,,3,,,
198_0,1,730,Picheleira - Pç. José Fontana,,3,,,
192_0,1,774,Campo Ourique - Gomes Freire,,3,,,
221_0,1,79B,Algés / circulação Caselas,,3,,,
121_0,1,723,Desterro - Algés,,3,,,
164_0,1,716,Alameda D. A. Henriques - Benfica,,3,,,
236_0,1,22B,Cais Sodré / circulação Príncipe Real,,3,,,
136_0,1,206,Cais Sodré - Odivelas,,3,,,
197_0,1,725,Estação Oriente - Prior Velho,,3,,,
112_1,1,767,Reboleira (Metro) - Campo Grande (Metro),,3,,,
147_1,1,706,R. Bica Sapato - Pç. Paiva Couceiro / R. Morais Soares,,3,,,
251_0,1,49B,Estação Roma-Areeiro / circulação Olaias,,3,,,
151_0,1,781,Cais Sodré - Prior Velho,,3,,,
178_3,1,724,Pontinha (Metro) - R. Leão Oliveira,,3,,,
194_0,1,798,Campo Grande (Metro) - Galinheiras,,3,,,
208_2,1,26B,Oceanário Lisboa - R. Chen He,,3,,,
123_0,1,701,Campo Grande (Metro) - Campo Ourique,,3,,,
189_2,1,712,Gomes Freire - R. Joaquim Bonifácio - Av. Duque Loulé,,3,,,
220_0,1,73B,Centro Congressos / circulação Qta. Jacinto,,3,,,
120_0,1,799,Colégio Militar (Metro) - Alfragide Norte,,3,,,
109_4,1,751,Av. Ceuta / R. Arco Carvalhão - R. Pinto Ferreira,,3,,,
253_0,1,67B,Estrela / circulação Pampulha,,3,,,
196_0,1,722,Restauradores - Portela,,3,,,
109_1,1,751,B. Loureiro - Av. Ceuta - Qta. Cabrinha - Av. Ceuta,,3,,,
178_1,1,724,Cemitério Benfica - Alcântara - Cç. Tapada,,3,,,
103_1,1,727,Cemitério Ajuda - Mq. Pombal - R. Braamcamp,,3,,,
172_1,1,735,Estação Sta. Apolónia - Corpo Santo,,3,,,
60_0,1,201,Cais Sodré - Linda-a-Velha,,3,,,
250_0,1,65B,Campo Ourique / circulação Rato,,3,,,
150_0,1,758,Cais Sodré - Portas Benfica,,3,,,
171_3,1,760,B. Caramão - Campo Santana,,3,,,
122_0,1,713,Alameda D. A. Henriques - Estação Campolide,,3,,,
189_0,1,712,Estação Sta. Apolónia - Alcântara Mar,,3,,,
61_1,1,202,Pontinha (Metro) - Cais Sodré,,3,,,
168_2,1,764,R. Carvalho Araújo - Calhariz,,3,,,
106_3,1,750,Cabo Ruivo - Av. Mar. Gomes Costa - Algés (Mercado),,3,,,
227_0,1,58B,Sete Rios/ circulação Torres Lisboa,,3,,,
158_0,1,51E,Glória - Restauradores / circulação Lg. Carmo,,3,,,
203_3,1,783,Prior Velho - Restauradores,,3,,,
103_3,1,727,Restelo (Torres) - R. Antão Gonçalves - Restelo - R. Antão Gonçalves,,3,,,
152_0,1,782,Cais Sodré - Moscavide,,3,,,
171_4,1,760,Estação Sto. Amaro - Campo Santana,,3,,,
108_3,1,746,Portas Benfica - Sul e Sueste,,3,,,
146_1,1,702,B. Liberdade - R. Artilharia Um,,3,,,
224_0,1,37B,Cruz da Pedra / circulação Alameda,,3,,,
124_0,1,773,Rato - Alcântara,,3,,,
100_1,1,708,Av. Peregrinação - Cabo Ruivo - Av. Mar. Gomes Costa,,3,,,
163_1,1,797,Sapadores - Pç. Paiva Couceiro,,3,,,
76_0,1,15E,Pç. Figueira - Algés,,3,,,
66_0,1,210,Cais Sodré - Prior Velho,,3,,,
282_0,1,763,Lumiar - Colégio Militar (Metro),,3,,,
211_0,1,32B,ISEL / circulação Bela Vista - B. Alfinetes,,3,,,
111_0,1,768,Cidade Universitária - B. Padre Cruz,,3,,,
175_3,1,756,Campo Pequeno - Av. Defensores Chaves - Qta. Cabrinha - Av. Ceuta,,3,,,
199_1,1,736,Lumiar - Corpo Santo,,3,,,
226_0,1,34B,Olaias / circulação B. Madre Deus,,3,,,
79_0,1,25E,Pç Figueira - Campo Ourique (Prazeres),,3,,,
104_6,1,729,Ajuda - Centro Cultural Belém,,3,,,
170_4,1,717,Estr. Forte (Escola) - Av. Rainha D. Leonor,,3,,,
102_4,1,714,Cais Sodré - Estr. Queluz,,3,,,
241_0,1,61B,Bela Flor - B. Liberdade (via Sete Rios),,3,,,
219_0,1,76B,Boa Hora / circulação Caramão Ajuda,,3,,,
284_0,1,55E,Funicular Graça,,3,,,
213_0,1,24E,Pç. Luis Camões - Campolide,,3,,,
167_4,1,753,Centro Sul - R. Joaquim António Aguiar,,3,,,
210_0,1,31B,ISEL / circulação B. Alfinetes - Bela Vista,,3,,,
203_2,1,783,Prior Velho - Marquês Pombal,,3,,,
110_0,1,765,Colégio Militar (Metro) - Portas Benfica,,3,,,
103_2,1,727,Restelo - Av. Descobertas - Pç. Armada,,3,,,
109_3,1,751,Linda-a-Velha - R. Pinto Ferreira,,3,,,
204_1,1,728,C. Comercial Portela - Av. Inf. D. Henrique (Tipografia),,3,,,
104_1,1,729,Belém - Cç. Ajuda - Ajuda,,3,,,
171_0,1,760,Gomes Freire - Cemitério Ajuda,,3,,,
204_4,1,728,Belém - Alfândega (Terminal Cruzeiros),,3,,,
243_0,1,13B,Sapadores / circulação Sta. Apolónia,,3,,,
143_0,1,720,Picheleira - Alto Sto. Amaro,,3,,,
116_4,1,726,R. Rio Tejo - Av. Madame Curie,,3,,,
121_1,1,723,Amoreiras - Av. Universidade Técnica (UTL),,3,,,
115_0,1,794,Sul e Sueste - Estação Oriente,,3,,,
190_1,1,731,Sete Rios - Qta. Barros,,3,,,
240_0,1,55B,Carnide (C. Comercial) / circulação B. Padre Cruz Carnide,,3,,,
118_0,1,755,Poço Bispo - Sete Rios,,3,,,
212_0,1,40B,Alto Chapeleiro - Lumiar,,3,,,
112_0,1,767,Campo Mártires Pátria - Reboleira (Metro),,3,,,
279_0,1,72B,Colégio Militar (Metro) / circulação B. Sta. Cruz - B. Boavista,,3,,,
179_0,1,778,Campo Grande (Metro) - Colégio Militar (Metro),,3,,,
173_0,1,737,Pç. Figueira - Castelo,,3,,,
