shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101_0_DESC_shp,38.74881650,-9.21387010,76,1147
101_0_ASC_shp,38.71438350,-9.13928310,76,1214
203_3_DESC_shp,38.77110940,-9.12177190,178,3256
203_3_ASC_shp,38.73164130,-9.14605320,178,3572
168_2_ASC_shp,38.74286620,-9.20576360,132,2878
168_2_DESC_shp,38.74086610,-9.20974440,132,2508
103_0_DESC_shp,38.72008150,-9.15432580,496,9971
103_0_ASC_shp,38.70105970,-9.18178580,496,9857
136_1_ASC_shp,38.70871200,-9.13516400,97,827
61_0_ASC_shp,38.77037220,-9.18848890,810,15090
61_0_DESC_shp,38.71549050,-9.14509080,807,14607
107_2_DESC_shp,38.70627990,-9.14480470,396,9166
106_4_DESC_shp,38.70634190,-9.22188820,178,1810
107_2_ASC_shp,38.70370600,-9.19431380,396,8447
106_4_ASC_shp,38.72816290,-9.21072600,178,3760
107_2_DESC_shp,38.71215280,-9.21480350,43,674
107_2_ASC_shp,38.72313500,-9.14820150,43,519
103_4_ASC_shp,38.74895060,-9.14163220,38,1021
64_0_DESC_shp,38.73291190,-9.14541360,210,4165
76_0_DESC_shp,38.70373140,-9.16238990,318,6582
250_0_CIRC_shp,38.71921500,-9.16812060,37,936
279_0_CIRC_shp,38.75288500,-9.20625960,124,2266
108_3_ASC_shp,38.73322730,-9.15290180,515,17887
224_0_CIRC_shp,38.72720370,-9.12569700,87,2145
152_0_ASC_shp,38.71322260,-9.12282900,137,2222
108_3_DESC_shp,38.71317660,-9.13944230,515,9704
143_0_DESC_shp,38.71986790,-9.15527670,215,4442
152_0_DESC_shp,38.76657420,-9.10431200,137,2491
143_0_ASC_shp,38.72952900,-9.14353680,215,3966
116_3_ASC_shp,38.75738220,-9.17856300,229,5028
116_3_DESC_shp,38.74969890,-9.17252880,229,5046
78_0_ASC_shp,38.70359990,-9.19545500,208,4783
253_0_CIRC_shp,38.71374870,-9.16043220,1,0
203_0_ASC_shp,38.72508280,-9.15194570,31,926
203_0_DESC_shp,38.79024680,-9.12515010,31,331
168_0_ASC_shp,38.74565710,-9.21778630,424,9891
168_0_DESC_shp,38.74732180,-9.16756030,424,9347
108_3_ASC_shp,38.74125660,-9.16990620,49,640
121_0_DESC_shp,38.72637090,-9.14728360,607,13300
108_3_DESC_shp,38.75055240,-9.21033000,49,764
121_0_ASC_shp,38.69577200,-9.21493500,607,13485
104_6_ASC_shp,38.71208840,-9.20140940,63,845
102_0_DESC_shp,38.72936910,-9.21009350,142,2357
102_0_ASC_shp,38.70585760,-9.17234750,142,2870
170_0_ASC_shp,38.74887930,-9.13237340,93,2107
170_0_DESC_shp,38.78722930,-9.14982840,93,1984
178_3_DESC_shp,38.76078580,-9.19779360,56,821
178_3_ASC_shp,38.71145450,-9.17993630,56,1184
107_2_DESC_shp,38.70772100,-9.13941050,461,9709
109_3_ASC_shp,38.69818240,-9.18946500,90,1912
107_2_ASC_shp,38.70519500,-9.20528510,461,9674
109_3_ASC_shp,38.69917200,-9.22696610,275,5816
109_3_DESC_shp,38.71288540,-9.22532310,90,1078
109_3_DESC_shp,38.69974010,-9.21425130,275,4253
196_0_DESC_shp,38.76714590,-9.12787640,247,4664
196_0_ASC_shp,38.75509990,-9.13027050,247,5929
61_0_ASC_shp,38.75132800,-9.20624330,592,10775
152_0_ASC_shp,38.70667100,-9.14164550,17,209
152_0_DESC_shp,38.77478820,-9.10280860,17,301
195_0_DESC_shp,38.75288500,-9.20625960,35,788
195_0_ASC_shp,38.75128270,-9.11392300,35,624
61_0_DESC_shp,38.73684830,-9.16733240,585,10669
111_2_DESC_shp,38.76019650,-9.18318720,362,8171
111_2_ASC_shp,38.77327760,-9.18835250,362,8507
64_0_ASC_shp,38.79165930,-9.15072770,744,15211
76_0_ASC_shp,38.70835310,-9.13615950,47,745
76_0_ASC_shp,38.70683910,-9.14160720,115,1277
