route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_4,,,0,,75_8_ASC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_7,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_6,,,0,,75_8_ASC_shp,,
174_0,Inverno_DomingoFeriado_20260101,8129_20260101_174_0_48,,,1,,174_0_DESC_shp,,
106_0,Natal & Ano Novo_DomingoFeriado_20260101,17274_20260101_106_0_5,,,0,,106_0_ASC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_3,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_2,,,0,,75_8_ASC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_9,,,1,,75_8_DESC_shp,,
75_8,Feriados_Agosto_DomingoFeriado_20260101,48791_20260101_75_8_8,,,0,,75_8_ASC_shp,,
112_0,Verao_Util_20260101,7296_20260101_112_0_12,,,1,,112_0_DESC_shp,,
226_0,Inverno_Util_20260101,19151_20260101_226_0_4,,,0,,226_0_CIRC_shp,,
100_1,Natal & Ano Novo_DomingoFeriado_20260101,17051_20260101_100_1_18,,,1,,100_1_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_6,,,0,,108_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_6,,,0,,204_0_ASC_shp,,
122_0,Agosto_Sabado_20260101,18723_20260101_122_0_3,,,0,,122_0_ASC_shp,,
100_1,Natal & Ano Novo_DomingoFeriado_20260101,17051_20260101_100_1_19,,,0,,100_1_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_7,,,1,,204_0_DESC_shp,,
75_0,Ferias Escolares_Util_20260101,15019_20260101_75_0_10,,,0,,75_0_ASC_shp,,
136_0,Verao_Util_20260101,12969_20260101_136_0_1,,,1,,136_0_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_4,,,0,,108_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_4,,,0,,204_0_ASC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_5,,,1,,108_0_DESC_shp,,
167_0,Inverno_DomingoFeriado_20260101,20090_20260101_167_0_5,,,0,,167_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_5,,,1,,204_0_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_2,,,0,,108_0_ASC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_3,,,1,,108_0_DESC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_3,,,1,,204_0_DESC_shp,,
108_0,Inverno_Util_20260101,6059_20260101_108_0_1,,,1,,108_0_DESC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_11,,,0,,158_0_CIRC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_10,,,0,,158_0_CIRC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_13,,,0,,158_0_CIRC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_53,,,0,,160_0_ASC_shp,,
103_5,Agosto_DomingoFeriado_20260101,18603_20260101_103_5_19,,,0,,103_5_ASC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_12,,,0,,158_0_CIRC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_43,,,0,,160_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_8,,,0,,204_0_ASC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_33,,,0,,160_0_ASC_shp,,
204_0,Inverno_Util_20260101,4589_20260101_204_0_9,,,1,,204_0_DESC_shp,,
158_0,Feriados_DomingoFeriado_20260101,62232_20260101_158_0_14,,,0,,158_0_CIRC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_23,,,0,,160_0_ASC_shp,,
160_0,Inverno_DomingoFeriado_20260101,1336_20260101_160_0_13,,,0,,160_0_ASC_shp,,
114_0,Verao_Util_20260101,5679_20260101_114_0_12,,,0,,114_0_ASC_shp,,
151_0,Verao_Util_20260101,7750_20260101_151_0_14,,,0,,151_0_ASC_shp,,
102_0,Agosto_Sabado_20260101,3663_20260101_102_0_14,,,0,,102_0_ASC_shp,,
204_3,Inverno_Util_20260101,4589_20260101_204_3_2,,,0,,204_3_ASC_shp,,
78_0,Ferias Escolares_Util_20260101,12194_20260101_78_0_18,,,1,,78_0_DESC_shp,,
147_0,Agosto_DomingoFeriado_20260101,20145_20260101_147_0_5,,,0,,147_0_ASC_shp,,
123_0,Inverno_Sabado_20260101,2955_20260101_123_0_19,,,1,,123_0_DESC_shp,,
112_1,Agosto_Sabado_20260101,7215_20260101_112_1_17,,,0,,112_1_ASC_shp,,
170_0,Agosto_Sabado_20260101,3855_20260101_170_0_19,,,0,,170_0_ASC_shp,,
109_0,Inverno_Sabado_20260101,6451_20260101_109_0_22,,,1,,109_0_DESC_shp,,
221_0,Agosto_Sabado_20260101,18666_20260101_221_0_2,,,0,,221_0_CIRC_shp,,
170_0,Inverno_Util_20260101,3844_20260101_170_0_17,,,0,,170_0_ASC_shp,,
146_0,Inverno_DomingoFeriado_20260101,3032_20260101_146_0_29,,,0,,146_0_ASC_shp,,
109_0,Inverno_Sabado_20260101,6451_20260101_109_0_12,,,1,,109_0_DESC_shp,,
105_0,Verao_Util_20260101,3965_20260101_105_0_12,,,0,,105_0_ASC_shp,,
146_0,Inverno_DomingoFeriado_20260101,3032_20260101_146_0_19,,,0,,146_0_ASC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_9,,,0,,177_0_ASC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_8,,,1,,177_0_DESC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_3,,,0,,177_0_ASC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_2,,,1,,177_0_DESC_shp,,
213_0,Natal & Ano Novo_DomingoFeriado_20260101,39406_20260101_213_0_6,,,0,,213_0_ASC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_7,,,0,,177_0_ASC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_6,,,1,,177_0_DESC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_5,,,0,,177_0_ASC_shp,,
177_0,Ferias Escolares_Util_20260101,6076_20260101_177_0_4,,,1,,177_0_DESC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_8,,,0,,196_0_ASC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_9,,,1,,196_0_DESC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_6,,,0,,196_0_ASC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_7,,,1,,196_0_DESC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_4,,,0,,196_0_ASC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_5,,,1,,196_0_DESC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_2,,,0,,196_0_ASC_shp,,
196_0,Verao_Util_20260101,4115_20260101_196_0_3,,,1,,196_0_DESC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_18,,,0,,220_0_CIRC_shp,,
77_0,Verao_Util_20260101,11032_20260101_77_0_23,,,1,,77_0_DESC_shp,,
150_0,Feriados_Agosto_DomingoFeriado_20260101,6824_20260101_150_0_18,,,1,,150_0_DESC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_14,,,0,,220_0_CIRC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_15,,,0,,220_0_CIRC_shp,,
77_0,Verao_Util_20260101,11032_20260101_77_0_13,,,1,,77_0_DESC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_16,,,0,,220_0_CIRC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_17,,,0,,220_0_CIRC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_10,,,0,,220_0_CIRC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_11,,,0,,220_0_CIRC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_12,,,0,,220_0_CIRC_shp,,
220_0,Verao_Util_20260101,18772_20260101_220_0_13,,,0,,220_0_CIRC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_219,,,1,,161_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_209,,,1,,161_0_DESC_shp,,
116_0,Verao_Util_20260101,4310_20260101_116_0_21,,,0,,116_0_ASC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_239,,,1,,161_0_DESC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_229,,,1,,161_0_DESC_shp,,
159_0,Verao_Util_20260101,1170_20260101_159_0_21,,,0,,159_0_ASC_shp,,
116_0,Verao_Util_20260101,4310_20260101_116_0_11,,,0,,116_0_ASC_shp,,
159_0,Verao_Util_20260101,1170_20260101_159_0_31,,,0,,159_0_ASC_shp,,
161_0,Ferias Escolares_Util_20260101,19004_20260101_161_0_249,,,1,,161_0_DESC_shp,,
159_0,Verao_Util_20260101,1170_20260101_159_0_11,,,0,,159_0_ASC_shp,,
159_0,Verao_Util_20260101,1170_20260101_159_0_61,,,0,,159_0_ASC_shp,,
159_0,Verao_Util_20260101,1170_20260101_159_0_41,,,0,,159_0_ASC_shp,,
159_0,Verao_Util_20260101,1170_20260101_159_0_51,,,0,,159_0_ASC_shp,,
245_0,Inverno_Sabado_20260101,35088_20260101_245_0_15,,,0,,245_0_CIRC_shp,,
245_0,Inverno_Sabado_20260101,35088_20260101_245_0_14,,,0,,245_0_CIRC_shp,,
150_0,Ferias Escolares_Util_20260101,6847_20260101_150_0_15,,,0,,150_0_ASC_shp,,
245_0,Inverno_Sabado_20260101,35088_20260101_245_0_11,,,0,,245_0_CIRC_shp,,
245_0,Inverno_Sabado_20260101,35088_20260101_245_0_10,,,0,,245_0_CIRC_shp,,
245_0,Inverno_Sabado_20260101,35088_20260101_245_0_13,,,0,,245_0_CIRC_shp,,
245_0,Inverno_Sabado_20260101,35088_20260101_245_0_12,,,0,,245_0_CIRC_shp,,
